Id,Label,Cat,Note
the learning sciences,the learning sciences,discipline,
education,education,discipline,
educational technology,educational technology,discipline,
Jingjing Zhang,Jingjing Zhang,Acadmic,
Wang Xuan,"Van Horne, Katie",Acemics,
Niu Niu,"Van Horne, Katie",Acemics,
Mitchel Resnick,Mitchel Resnick,Acemics,
Gregory Hume,Gregory Hume,Acemics,
Joel Michael,Joel Michael,Acemics,
Allen Rovick,Allen Rovick,Acemics,
Martha Evens,Martha Evens,Acemics,
Johanna D. Moore,Johanna D. Moore,Acemics,
Benoit Lemaire,Benoit Lemaire,Acemics,
James A. Rosenblum,James A. Rosenblum,Acemics,
David Hammer,David Hammer,Acemics,
Wolff-Michael Roth,Wolff-Michael Roth,Acemics,
Jeremy Roschelle,Jeremy Roschelle,Acemics,
Elaine M. Crowder,Elaine M. Crowder,Acemics,
Rogers Hall,Rogers Hall,Acemics,
Judit N. Moschkovich,Judit N. Moschkovich,Acemics,
Christine Theberge Rafal,Christine Theberge Rafal,Acemics,
Nancy Butler Songer,Nancy Butler Songer,Acemics,
Kevin A. Gluck,Kevin A. Gluck,Acemics,
Valerie J. Shute,Valerie J. Shute,Acemics,
Daniel C. Edelson,Daniel C. Edelson,Acemics,
Physics,Physics,discipline,
Computer Science,Computer Science,discipline,
Media Arts and science acadamic program,Media Arts and science acadamic program,discipline,
The learning sciences,The learning sciences,discipline,
AI,AI,discipline,
Social science,Social science,discipline,
Education,Education,discipline,
Biology,Biology,discipline,
Statics,Statics,discipline,
Physical chemistry,Physical chemistry,discipline,
Math,Math,discipline,
Cognitive science,Cognitive science,discipline,
Cognitive psychology,Cognitive psychology,discipline,
Margaret M. Recker,Margaret M. Recker,Acadmic
Peter Pirolli,Peter Pirolli,Acadmic
Brigitte Jordan,Brigitte Jordan,Acadmic
Austin Henderson,Austin Henderson,Acadmic
Maureen A. Callanan,Maureen A. Callanan,Acadmic
Jeff Shrager,Jeff Shrager,Acadmic
Joyce L. Moore,Joyce L. Moore,Acadmic
Leona Schauble,Leona Schauble,Acadmic
Robert Glaser,Robert Glaser,Acadmic
Richard A. Duschl,Richard A. Duschl,Acadmic
John R. Anderson,John R. Anderson,Acadmic
Albert T. Corbett,Albert T. Corbett,Acadmic
Kenneth R. Koedinger,Kenneth R. Koedinger,Acadmic
Mary A. Mark,Mary A. Mark,Acadmic
Jim E. Greer,Jim E. Greer,Acadmic
Douglas N. Gordin,Douglas N. Gordin,Acadmic
Roy D. Pea,Roy D. Pea,Acadmic
Susan L. Epstein,Susan L. Epstein,Acadmic
Daniel L. Schwartz,Daniel L. Schwartz,Acadmic
Josиж F. Arocha,Josиж F. Arocha,Acadmic
Vimla L. Patel,Vimla L. Patel,Acadmic
Lawrence W. Barsalou,Lawrence W. Barsalou,Acadmic
Computing,Computing,discipline
psychology and anthropology,psychology and anthropology,discipline
cognitive psychology,cognitive psychology,discipline
Human and Machine Cognition,Human and Machine Cognition,discipline
anthropology,anthropology,discipline
Social Relations,Social Relations,discipline
Mathematics,Mathematics,discipline
Computer Science,Computer Science,discipline
user interface architecture,user interface architecture,discipline
Psychology,Psychology,discipline
Computer Science/Systems Engineering,Computer Science/Systems Engineering,discipline
Cognitive and Developmental Psychology,Cognitive and Developmental Psychology,discipline
Symbolic Systems,Symbolic Systems,discipline
Psychology & Computer Science,Psychology & Computer Science,discipline
Educational Psychology,Educational Psychology,discipline
Developmental Psychology,Developmental Psychology,discipline
education and human development,education and human development,discipline
Developmental and Educational Psychology,Developmental and Educational Psychology,discipline
psychological measurement and learning theory,psychological measurement and learning theory,discipline
Learning Research and Development,Learning Research and Development,discipline
Earth Science Education,Earth Science Education,discipline
Geology,Geology,discipline
Science Education,Science Education,discipline
Arts and Science,Arts and Science,discipline
Experimental Psychology,Experimental Psychology,discipline
Math and Computer Science,Math and Computer Science,discipline
Arts,Arts,discipline
Science in Computational Science,Science in Computational Science,discipline
Computer Science Education ,Computer Science Education ,discipline
Computer Science& Electrical and Computer Engineering ,Computer Science& Electrical and Computer Engineering ,discipline
Learning Sciences,Learning Sciences,discipline
Philosophy and Psychology,Philosophy and Psychology,discipline
Education and Learning Sciences,Education and Learning Sciences,discipline
Philosophy and Anthropology,Philosophy and Anthropology,discipline
Computers and Education,Computers and Education,discipline
Human Cognition and Learning,Human Cognition and Learning,discipline
Educational Technology,Educational Technology,discipline
Health Science department,Health Science department,discipline
Biochemistry & Microbiology,Biochemistry & Microbiology,discipline
Cognitive Studies in Medicine and Public Health,Cognitive Studies in Medicine and Public Health,discipline
